uuid,city,state,ref_link,gallons,description,date,latitude,longitude,accident_type
9b6dd352-48ae-4417-81b5-538fe7a7d5a6,Newington,Virginia,N/A,N/A,"On January 10, approximately 100 barrels of jet fuel were discharged from Plantation Pipeline in Newington, Virginia, some of which entered into Accotink Creek and its adjoining shorelines. The failure resulted from a failed gasket on an interface detector.",2000-01-10,38.7384477,-77.1849816,oil
28ab71af-d401-44a8-9467-770a269ca041,Texas,Oklahoma,N/A,N/A,"On January 13, 2000 Koch Industries agreed to pay a $35 million fine, due to a series of oil pipeline leaks in six states — Texas, Oklahoma, Kansas, Alabama, Louisiana and Missouri — including 300 leaks from 1990 to 1997. One of the allegations was the leaks were from a lack of maintenance of the pipelines. The EPA said it was the biggest civil fine levied under the Clean Water Act. The settlement resolved two lawsuits charging that for years Koch's pipeline subsidiary had left thousands of miles of pipeline in disrepair.",2000-01-13,36.8301318,-101.4339148,oil
9f4f4c45-ea92-4373-b29f-48a6b107c2c6,Corinne,Utah,N/A,N/A,"On January 21, a Chevron pipeline leaked from a welding flaw near Corinne, Utah, spilling about 100 barrels of Diesel fuel. The product spread over 38 acres of salt flat and wetlands used by birds. About 75% to 80% of the spill was intentionally burned to eliminate it.",2000-01-21,41.5510441,-112.1102262,oil
4e25f13e-efb0-4f18-aeb2-5864332f678d,the,Louisiana,N/A,94000,"On January 21, an Equilon Pipeline Co. crude oil line was ruptured off of the Louisiana coast, by an eight-ton anchor dropped by a ship. About 94,000 gallons of crude oil were spilled, creating a slick 2 miles wide by 7 miles long.",2000-01-21,30.9842977,-91.9623327,oil
577f3de6-0a00-491a-9d6b-6d1b5588046a,Winchester,Kentucky,N/A,N/A,"On January 27, in Winchester, Kentucky, a Marathon Oil pipeline accident released about 490,000 US gallons (1,900,000 L) of crude oil. NTSB investigators found a dent on the bottom of the pipe in the rupture area. Marathon spent about $7.1 million in response to the accident.",2000-01-27,37.990079,-84.1796503,oil
b64be117-27e4-44cb-b2e9-6dc0865ade07,in,Pennsylvania,N/A,N/A,"On February 5, a pipeline failed and spilled over 192,000 US gallons (730,000 L) of crude oil in the John Heinz National Wildlife Refuge in Pennsylvania. The source of the spill was a break in a miter bend in the pipe, which was estimated to be at least 50 years old.",2000-02-05,41.2033216,-77.1945247,oil
beec3d80-559f-4dd9-b2c5-cb68422fcb7a,Greenville,Texas,N/A,N/A,"On March 9, an Explorer petroleum products pipeline failed in Greenville, Texas. The 28-inch pipeline ruptured and released 13,436 barrels (2,136.2 m3) of gasoline. The released gasoline eventually reached East Caddo Creek. The banks of the tributary and creek contained the escaping gasoline as it flowed away from the ruptured pipe. The probable cause of the pipeline failure was corrosion-fatigue cracking that initiated at the edge of the longitudinal seam weld at a likely preexisting weld defect. Contributing to the failure was the loss of pipe coating integrity.",2000-03-09,33.1384488,-96.1108066,oil
c0a6e194-0326-475d-8985-c6703879e971,Aquasco,Maryland,N/A,N/A,"On April 7, a pipeline released fuel oil at Chalk Point near Aquasco, Maryland. The Piney Point Oil Pipeline system, which was owned by the Potomac Electric Power Company (Pepco), experienced a pipe failure at the Chalk Point Generating Station in southeastern Prince George's County, Maryland. The release was not discovered and addressed by the contract operating company, Support Terminal Services, Inc., until the late afternoon. Approximately 140,400 US gallons (531,000 L) of fuel oil were released into the surrounding wetlands and Swanson Creek and, subsequently, the Patuxent River as a result of the accident. No injuries were caused by the accident, which cost approximately $71 million for environmental response and clean-up operations.",2000-04-07,38.5851203,-76.7249652,oil
8364f9bd-0fb8-4bd2-8fd5-1cef99a3a699,Greensboro,North Carolina,N/A,714,"On May 19, a Colonial Pipeline Co. line failed near Greensboro, North Carolina. At least 714 gallons (17 barrels) of kerosene spilled, some of which entered a pond that flows into a tributary of the East Fork Deep River. The kerosene spill caused a sheen about 40 feet by 40 feet in the pond. As a result of this, and six other previous Colonial Pipeline accidents, the EPA fined Colonial $34 million in 2003.",2000-05-19,36.0726354,-79.7919754,oil
8fd8d1f7-5f9d-4f9d-a912-34b9e7c90ec5,Township,Michigan,N/A,N/A,"On June 7, a stopple fitting weld failed on a Wolverine Pipeline Company line, causing a rupture releasing 75,000 US gallons (280,000 L) of gasoline into the environment, and causing the evacuation of more than 500 houses in Blackman Charter Township, Michigan. The failure caused the shutdown of 30% of Michigan's gasoline supplies for nine days, contaminated a creek which flows into the Grand River, and a railroad track near the failure site was shut down for a week. Later tests found 715 anomalies in this pipeline. Wolverine later agreed to pay for switching houses in the area from local water wells to a city water source.",2000-06-07,42.5868882,-82.9195514,oil
351db977-53fe-4f6b-890d-57465ec06541,Plaquemines,Louisiana,N/A,N/A,"On July 5, two boats hit a Southern Natural Gas pipeline off the coast of Plaquemines, Louisiana, causing a gas fire that burned five members of the boat crews. The fire could be seen at 35 miles away from it.",2000-07-05,29.3240045,-89.4742177,gas
faa71e91-36cd-4efa-bd2e-b896d2f62da1,Carlsbad,New Mexico,N/A,N/A,"On August 19, a 30-inch diameter El Paso Natural Gas pipeline rupture and fire near Carlsbad, New Mexico killed 12 members of an extended family camping over 600 feet (180 m) from the rupture point. The force of the escaping gas created a 51-foot (16 m)-wide crater about 113 feet (34 m) along the pipe. A 49-foot (15 m) section of the pipe was ejected from the crater, in three pieces measuring approximately 3 feet (0.91 m), 20 feet (6.1 m), and 26 feet (7.9 m) in length. The largest piece of pipe was found about 287 feet (87 m) northwest of the crater. The cause of the failure was determined to be severe internal corrosion of that pipeline. On July 26, 2007, a USDOJ Consent Decree was later entered into by the pipeline owner to perform pipeline system upgrades to allow better internal pipeline inspections.",2000-07-26,32.4206736,-104.2288375,gas
f0c10a66-7f14-4ccd-8296-0309514d00d1,Concord,North Carolina,N/A,N/A,"On August 20, a gas pipeline exploded and burned in Concord, North Carolina. A nearby shopping mall was evacuated, but, there were no injuries.",2000-08-20,35.4087517,-80.579511,oil
fac46519-f587-4a70-9173-5d7c4436f51c,Snyder,Texas,N/A,126000,"On August 24, a 6-inch pipeline operated by Chevron failed from alleged external corrosion, spilling 126,000 gallons of crude oil into an unnamed creek, near Snyder, Texas. The creek was dry at the time. Later, a Federal Court ruled that the Clean Water Act did not apply, since there was no water flowing in the creek at the time.",2000-08-24,32.7178862,-100.9176184,oil
037e2220-6326-4fa6-a24e-6a4a956b6001,Toledo,Ohio,N/A,N/A,"On September 8, for the second time in 24 hours, a state contractor building a noise wall along the I-475 in Toledo, Ohio struck an underground pipeline, and for a second time the contractor blamed faulty pipeline mapping for the accident. In this incident, the pipe was a 6-inch gas pipeline. The crew was digging a hole with an auger for a noise-wall support, when it hit the underground pipe less than 500 meters from the previous day's incident.",2000-09-08,41.6639383,-83.555212,oil
78c32a14-69b1-4762-9fdd-f78d16122a97,Abilene,Texas,N/A,N/A,"On September 7, a bulldozer ruptured a 12-inch diameter NGL pipeline on State Route 36 south of Abilene, Texas. An Abilene police detective, with 21 years of service, was severely burned when the vapors ignited, and he later died. Nearby, a woman saved herself by going underwater in her swimming pool. Her house was destroyed by the explosion and fire. The owner of the pipeline, ExxonMobil, was later fined by the Texas Railroad Commission for the pipeline not being marked.",2000-09-07,32.4487364,-99.7331439,oil
673ce024-4500-430f-bd85-adab55e3de1a,County,Pennsylvania,N/A,N/A,"On November 3, a front end loader punctured an 8-inch pipeline carrying Diesel fuel in Lancaster County, Pennsylvania. Diesel fuel sprayed 40 feet (12 m) into the air. The fuel flowed for over 2 hours before stopping, and contaminating the area with more than 40,000 US gallons (150,000 L) of Diesel fuel.",2000-11-03,40.8765649,-77.8367282,oil
a6f87377-d295-4837-8300-1854cefa08c0,Hutchinson,Kansas,N/A,N/A,"On January 17 and 18, a series of gas explosion hit downtown Hutchinson, Kansas, resulting in 2 deaths, and 2 buildings being destroyed. Later, it was discovered that gas was leaking from an underground gas storage cavern in the area.",2001-01-17,38.0608445,-97.9297743,oil
2064a10c-11de-496e-8bdb-a605324df71f,Weatherford,Texas,N/A,N/A,"On March 22, a 12-inch natural gas pipeline exploded in Weatherford, Texas. No one was injured, but the blast created a hole in the ground about 15 feet (4.6 m) in diameter and the explosion was felt several miles away.",2001-03-22,32.7592955,-97.7972544,gas
6b37cd63-568d-470e-9ae5-5e733ace4c63,in,North Dakota,N/A,N/A,"On April 1, a Dome Pipeline in North Dakota carrying gasoline ruptured and burst into flames a few miles west of Bottineau, North Dakota. An estimated 1.1 million US gallons (4,200 m3) of gasoline burned before the pipeline could be shut down. The company attributed the break to damage by an ""outside force"", which A Bottineau County Sheriff said appeared to be frost that melted at uneven rates, twisting and breaking the pipeline.",2001-04-01,47.5514926,-101.0020119,oil
502fc8f7-d639-4d90-9fd4-d272b77403ee,Harwood,North Dakota,N/A,N/A,"On April 14, a 6-inch petroleum productions failed near Harwood, North Dakota, spilling 40 barrels of fuel oil. There were no injuries. The failure was due to an ERW seam failure, with this particular pipeline having had other ERW seam failures in the past in 1987 and 1993.",2001-04-14,46.9794115,-96.8806377,oil
03411986-db1f-46f4-a891-b3e5c584da96,County,Missouri,N/A,N/A,"On May 1, a MAPCO 10-inch propane pipeline exploded and burned, in Platte County, Missouri. 13,500 barrels of propane were burned.",2001-05-01,37.2173919,-91.0314099,oil
8480170b-2220-482d-b32f-7b302121838c,County,Texas,N/A,N/A,"On May 24 bulldozer being used in Taylor County, Texas hit a petroleum pipeline, causing a large petroleum fire. There were no injuries.",2001-05-24,36.8301318,-101.4339148,oil
